player_id,2025-03-20,2025-03-21,2025-03-22,2025-03-23
0,UCLA,Marquette,NaN,NaN
1,Wisconsin,Arizona,Auburn,Maryland
2,Wisconsin,Connecticut,Purdue,Maryland
3,Texas Tech,Iowa State,Purdue,Maryland
4,Purdue,Maryland,St. John's,NaN
5,Kansas,,,
6,Kansas,,,
7,Gonzaga,Kentucky,Texas Tech,Maryland
8,Gonzaga,Oregon,Purdue,Maryland
9,Texas Tech,Arizona,Purdue,Maryland
10,St. John's,Arizona,Texas Tech,Michigan State
11,Clemson,,,
12,UCLA,Connecticut,Purdue,Michigan State
13,Texas Tech,Arizona,St. John's,
14,Wisconsin,Iowa State,Texas Tech,Michigan State
15,Texas A&M,Maryland,St. John's,
16,Texas Tech,North Carolina,,
17,UCLA,Saint Mary's,Purdue,Maryland
18,St. John's,Iowa State,Tennessee,Maryland
19,Purdue,Alabama,Texas A&M,
20,St. John's,Kentucky,Purdue,Michigan State
21,Wisconsin,Maryland,Tennessee,Alabama
22,Gonzaga,Kentucky,Texas Tech,Iowa State
23,Clemson,,,
24,Gonzaga,Arizona,Texas Tech,Maryland
25,St. John's,Kentucky,Purdue,Maryland
26,St. John's,Iowa State,Texas Tech,Florida
27,Wisconsin,Maryland,St. John's,
28,Texas Tech,Iowa State,Purdue,Maryland
29,Wisconsin,Colorado State,Purdue,Iowa State
30,Creighton,Iowa State,Texas A&M,
31,Texas Tech,Oregon,Purdue,Michigan State
32,Missouri,,,
33,Gonzaga,North Carolina,,
34,St. John's,Connecticut,Purdue,Maryland
35,Wisconsin,Iowa State,,
36,Gonzaga,Oregon,Purdue,Maryland
37,Kansas,,,
38,Wisconsin,Maryland,Tennessee,Alabama
39,UCLA,Oregon,Texas A&M,
40,St. John's,Saint Mary's,Tennessee,Alabama
41,Wisconsin,Iowa State,Texas Tech,Maryland
42,St. John's,Alabama,,
43,Wisconsin,Kentucky,Purdue,Maryland
44,Gonzaga,Maryland,Purdue,Iowa State
45,Texas Tech,Iowa State,Tennessee,Maryland
46,Wisconsin,Kentucky,Tennessee,Michigan State
47,Gonzaga,Iowa State,St. John's,
48,St. John's,Iowa State,Tennessee,Michigan State
49,Wisconsin,Kentucky,St. John's,
50,Wisconsin,Iowa State,St. John's,
51,Texas Tech,Iowa State,St. John's,
52,St. John's,Arizona,Purdue,Maryland
53,Gonzaga,Connecticut,Purdue,Illinois
54,Purdue,Arizona,Texas Tech,Michigan State
55,Wisconsin,Kentucky,St. John's,
56,Missouri,,,
57,Wisconsin,Iowa State,Purdue,Maryland
58,Houston,Alabama,Auburn,Florida
59,Missouri,,,
60,Gonzaga,North Carolina,,
61,Gonzaga,Arizona,Texas Tech,Maryland
62,Gonzaga,Arizona,St. John's,
63,Tennessee,Iowa State,Purdue,Maryland
64,Gonzaga,Saint Mary's,Tennessee,Maryland
65,Houston,Michigan State,Texas Tech,Maryland
66,Wisconsin,Maryland,Tennessee,Michigan State
67,Creighton,Mississippi State,,
68,Texas Tech,Arizona,St. John's,
69,Gonzaga,Kentucky,Purdue,Iowa State
70,Wisconsin,Arizona,Texas Tech,Maryland
71,Missouri,,,
72,St. John's,Alabama,Tennessee,Maryland
73,Texas A&M,Arizona,BYU,Iowa State
74,St. John's,Kentucky,Texas Tech,Maryland
75,St. John's,Kentucky,Wisconsin,
76,Wisconsin,Saint Mary's,St. John's,
77,St. John's,Connecticut,Texas A&M,
78,St. John's,Arizona,Tennessee,Maryland
79,St. John's,Iowa State,Purdue,Maryland
80,Gonzaga,Saint Mary's,Purdue,Maryland
81,Wisconsin,Iowa State,Texas Tech,Maryland
82,St. John's,Kentucky,Purdue,Maryland
83,Purdue,Alabama,Texas Tech,Maryland
84,Wisconsin,Alabama,St. John's,
85,Gonzaga,Arizona,Texas Tech,Maryland
86,Clemson,,,
87,Missouri,,,
88,Gonzaga,Kentucky,Wisconsin,
89,UCLA,Connecticut,BYU,Maryland
90,Wisconsin,Kentucky,BYU,Colorado State
91,Wisconsin,Oregon,Texas Tech,Maryland
92,Purdue,Arizona,Texas Tech,Iowa State
93,Purdue,Arizona,Tennessee,Maryland
94,St. John's,Alabama,Purdue,Maryland
95,Purdue,Iowa State,St. John's,
96,Texas Tech,Kentucky,McNeese State,
97,Gonzaga,Oregon,Tennessee,Maryland
98,Gonzaga,Connecticut,Purdue,Maryland
99,Gonzaga,Oregon,Texas Tech,Maryland
100,Texas Tech,Arizona,Purdue,Michigan State
101,Wisconsin,Iowa State,St. John's,
102,St. John's,Iowa State,Texas A&M,
103,Wisconsin,Arizona,Texas Tech,Michigan State
104,Gonzaga,Oregon,St. John's,
105,Purdue,Marquette,,
106,Gonzaga,Saint Mary's,Purdue,Maryland
107,Texas A&M,Iowa State,Wisconsin,
108,Wisconsin,Kentucky,Gonzaga,
109,Creighton,Baylor,Purdue,Maryland
110,St. John's,Michigan State,Texas Tech,Maryland
111,St. John's,Arizona,Tennessee,Maryland
112,St. John's,Iowa State,Texas A&M,
113,Purdue,Marquette,,
114,Gonzaga,Connecticut,Purdue,Maryland
115,UCLA,Maryland,Texas Tech,Michigan State
116,Clemson,,,
117,Gonzaga,Saint Mary's,Texas A&M,
118,Wisconsin,Arizona,Purdue,Michigan State
119,Michigan,,,
120,Tennessee,Oregon,,
121,Wisconsin,Iowa State,Purdue,Maryland
122,Wisconsin,Iowa State,Purdue,Maryland
123,Houston,Alabama,Texas A&M,
124,Purdue,Kentucky,Texas Tech,Maryland
125,Wisconsin,Oregon,Purdue,Maryland
126,Purdue,Colorado State,BYU,Maryland
127,St. John's,Michigan State,Purdue,Alabama
128,Wisconsin,Memphis,,
129,Texas Tech,Iowa State,St. John's,
130,Gonzaga,Connecticut,Texas A&M,
131,UC San Diego,,,
132,Wisconsin,Kentucky,Texas Tech,Maryland
133,Wisconsin,Arizona,St. John's,
134,Texas Tech,North Carolina,,
135,Wisconsin,Maryland,Purdue,Michigan State
136,St. John's,Saint Mary's,Purdue,Maryland
137,Purdue,Iowa State,Wisconsin,
138,Wisconsin,Saint Mary's,St. John's,
139,Wisconsin,Kentucky,Texas Tech,Maryland
140,Clemson,,,
141,Gonzaga,Arizona,Purdue,Maryland
142,St. John's,Kentucky,Tennessee,Maryland
143,Wisconsin,Connecticut,Texas Tech,Maryland
144,Wisconsin,Kentucky,Purdue,Maryland
145,Wisconsin,Kentucky,Purdue,Maryland
146,St. John's,Alabama,Texas A&M,
147,St. John's,Maryland,Texas Tech,Alabama
148,Clemson,,,
149,Wisconsin,Alabama,Texas Tech,Maryland
150,Wisconsin,Mississippi,St. John's,
151,Missouri,,,
152,Clemson,,,
153,Texas A&M,Oregon,Purdue,Illinois
154,Louisville,,,
155,Gonzaga,Iowa State,Purdue,Maryland
156,UCLA,Oregon,Purdue,Maryland
157,Wisconsin,Alabama,Purdue,
158,Missouri,,,
159,Gonzaga,Baylor,Drake,
160,Tennessee,Iowa State,St. John's,
161,Purdue,Iowa State,Texas Tech,Maryland
162,Texas Tech,Arizona,Tennessee,Maryland
163,Texas Tech,Iowa State,Purdue,Maryland
164,Tennessee,Michigan State,St. John's,
165,Gonzaga,Arizona,St. John's,
166,Houston,Florida,,
167,Wisconsin,Maryland,St. John's,
168,Louisville,,,
169,Texas Tech,Arizona,Purdue,
170,Tennessee,Alabama,Purdue,Florida
171,Wisconsin,Iowa State,Purdue,Maryland
172,Purdue,Connecticut,Tennessee,Michigan State
173,Wisconsin,Kentucky,St. John's,
174,Purdue,North Carolina,,
175,Gonzaga,Kentucky,McNeese State,
176,UCLA,Arizona,Texas Tech,Illinois
177,Gonzaga,Arizona,Texas Tech,Iowa State
178,Purdue,Maryland,Texas Tech,Alabama
179,Tennessee,Oregon,St. John's,
180,Gonzaga,Alabama,St. John's,
181,Creighton,Arizona,Texas Tech,Maryland
182,Wisconsin,North Carolina,,
183,Gonzaga,Connecticut,Purdue,Maryland
184,Wisconsin,Kentucky,Purdue,Maryland
185,UCLA,Arizona,Purdue,Maryland
186,St. John's,Kentucky,Tennessee,Illinois
187,Gonzaga,Connecticut,Purdue,Maryland
188,Wisconsin,Michigan State,Purdue,Maryland
189,Texas Tech,Marquette,,
190,Purdue,Arizona,Tennessee,Maryland
191,Wisconsin,Arizona,Texas Tech,Alabama
192,Auburn,Arizona,Purdue,Mississippi
193,UC San Diego,,,
194,Texas A&M,Kentucky,Texas Tech,Maryland
195,UCLA,Iowa State,St. John's,
196,Tennessee,Iowa State,Texas Tech,Maryland
197,Wisconsin,Kentucky,Texas Tech,Michigan State
198,Kansas,,,
199,Tennessee,Maryland,St. John's,
200,Gonzaga,Oregon,Purdue,Maryland
201,Tennessee,Arizona,Purdue,Michigan State
